                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4014,                  6.729,                 2.5195,                0.00052,                0.13244,                0.00096,                0.00032,                 3.3479,                 5.4388,                 2.4875,                 0.0937,                 0.0007,                 0.0007
                      1,                 2.9953,                 4.5468,                 2.2657,                0.24712,                0.07357,                0.04648,                 0.0233,                 2.6749,                 4.5095,                 2.2657,               0.086485,              0.0014851,              0.0014851
                      2,                 2.2254,                 3.1467,                 1.8107,                0.51754,                0.12331,                0.10508,                0.04776,                 2.3131,                 4.6399,                 2.0143,               0.079254,              0.0022545,              0.0022545
                      3,                 1.8489,                 2.3014,                 1.5802,                0.35453,                0.55596,                 0.3292,                0.13464,                 2.0017,                  4.287,                 1.7489,               0.072008,              0.0030079,              0.0030079
                      4,                 1.6742,                 1.9236,                 1.4634,                0.52978,                0.53299,                0.52524,                0.26096,                 1.6676,                 2.5417,                 1.5381,               0.064746,              0.0037456,              0.0037456
                      5,                 1.5713,                   1.68,                 1.3302,                0.49683,                 0.6876,                0.57652,                 0.2918,                  1.584,                 2.5187,                 1.4624,               0.057467,              0.0044673,              0.0044673
                      6,                 1.4631,                  1.549,                 1.2932,                0.52667,                0.58202,                0.55151,                0.27102,                 1.7232,                 1.7896,                 1.4877,               0.050173,              0.0051733,              0.0051733
                      7,                 1.6218,                 1.6205,                 1.3312,                0.58043,                0.54509,                0.56507,                0.27126,                 1.6913,                 2.5107,                 1.4506,               0.042863,              0.0058634,              0.0058634
                      8,                 1.4839,                 1.4687,                 1.2686,                0.64813,                0.59793,                0.63033,                0.32927,                 1.6424,                 1.7403,                 1.4198,               0.035538,              0.0065377,              0.0065377
                      9,                 1.4323,                 1.4825,                 1.2366,                 0.5422,                0.66083,                0.62379,                 0.3344,                 1.6241,                 1.8707,                 1.4227,               0.028196,              0.0071961,              0.0071961
                     10,                 1.5355,                 1.4459,                 1.2316,                0.58189,                0.56257,                0.63229,                0.33901,                 1.6079,                 1.6377,                 1.3657,               0.020839,              0.0078387,              0.0078387
                     11,                 1.5951,                 1.3409,                 1.2566,                0.56735,                0.66794,                0.60763,                0.28996,                 1.6479,                 1.6186,                 1.5302,               0.013465,              0.0084655,              0.0084655
                     12,                  1.482,                 1.3704,                 1.2683,                0.51824,                0.64152,                0.59222,                0.30506,                 1.6731,                 1.5752,                 1.4151,               0.008812,               0.008812,               0.008812
                     13,                  1.543,                 1.4416,                 1.2965,                0.62649,                0.66011,                0.64891,                0.37052,                 1.4963,                 1.6006,                 1.4055,               0.008812,               0.008812,               0.008812
                     14,                 1.4471,                 1.4424,                 1.2082,                0.62949,                0.70237,                0.67534,                0.35393,                 1.6013,                 1.4127,                 1.3989,               0.008713,               0.008713,               0.008713
                     15,                 1.4933,                 1.4009,                 1.2523,                0.61507,                0.74502,                0.73203,                0.38046,                 1.6124,                 1.3716,                 1.3899,               0.008614,               0.008614,               0.008614
                     16,                 1.4847,                 1.2085,                  1.174,                0.61497,                0.67286,                0.63723,                0.31397,                 1.6477,                 1.6872,                 1.4043,               0.008515,               0.008515,               0.008515
